"DEST","Frequency","Proportion"
"GRB",309,0.000842099525808034
"GRI",76,0.000207118329972203
"GRK",174,0.00047419196598899
"GRR",1024,0.00279064697225704
"GSO",437,0.00119093039734016
"GSP",766,0.00208753474682509
"GTF",205,0.000558674442688178
"GTR",86,0.00023437074181065
"GUC",81,0.000220744535891426
"GUM",44,0.00011991061208917
"HDN",242,0.000659508366490434
"HGR",14,3.81533765738268e-05
"HHH",167,0.000455115277702077
"HIB",51,0.000138987300376083
"HLN",105,0.000286150324303701
"HNL",2708,0.00737995312585164
"HOB",22,5.99553060445849e-05
"HOU",3310,0.00902054831852619
"HPN",272,0.000741265602005778
"HRL",200,0.000545048236768954
"HSV",425,0.00115822750313403
"HTS",36,9.81086826184117e-05
"HYS",53,0.000144437782743773
"IAD",3304,0.00900419687142312
"IAG",26,7.0856270779964e-05
"IAH",7588,0.0206791301030141
"ICT",599,0.00163241946912302
"IDA",227,0.000618629748732763
"ILM",348,0.00094838393197798
"IMT",60,0.000163514471030686
"IND",2072,0.00564669973292636
"INL",52,0.000141712541559928
"ISP",241,0.00065678312530659
"ITH",31,8.44824766991879e-05
"ITO",323,0.000880252902381861
"JAC",476,0.00129721480351011
"JAN",340,0.000926582002507222
"JAX",1352,0.00368452608055813
"JFK",3605,0.0098244944677604
"JLN",61,0.000166239712214531
"JMS",81,0.000220744535891426
"JNU",229,0.000624080231100452
"JST",47,0.000128086335640704
"KOA",835,0.00227557638851038
"KTN",109,0.00029705128903908
"LAN",120,0.000327028942061372
"LAR",49,0.000133536818008394
"LAS",8468,0.0230773423447975
"LAW",52,0.000141712541559928
"LAX",9980,0.0271979070147708
"LBB",395,0.00107647026761868
"LBE",64,0.000174415435766065
"LBF",52,0.000141712541559928
"LBL",53,0.000144437782743773
"LCH",11,2.99776530222925e-05
"LCK",74,0.000201667847604513
"LEX",494,0.00134626914481932
"LFT",235,0.000640431678203521
"LGA",3752,0.0102251049217856
"LGB",664,0.00180956014607293
"LIH",286,0.000779418978579604
"LIT",734,0.00200032702894206
"LNK",71,0.000193492124052979
"LRD",109,0.00029705128903908
"LSE",154,0.000419687142312095
"LWB",29,7.90319943314983e-05
"LWS",71,0.000193492124052979
"LYH",17,4.63291001253611e-05
"MAF",547,0.00149070692756309
"MBS",91,0.000247996947729874
"MCI",2223,0.00605821115168692
"MCO",8575,0.0233689431514689
"MDT",316,0.000861176214094947
"MDW",4104,0.0111843898184989
"MEI",52,0.000141712541559928
"MEM",1221,0.00332751948547446
"MFE",278,0.000757617049108846
"MFR",413,0.00112552460892789
"MGM",180,0.000490543413092059
"MHK",58,0.000158063988662997
"MHT",359,0.000978361585000272
"MIA",5140,0.0140077396849621
"MKE",1319,0.00359459312149125
"MKG",56,0.000152613506295307
"MLB",201,0.000547773477952799
"MLI",206,0.000561399683872023
"MLU",201,0.000547773477952799
"MOB",217,0.000591377336894315
"MOT",225,0.000613179266365073
"MQT",112,0.000305227012590614
"MRY",197,0.00053687251321742
"MSN",593,0.00161606802201995
"MSO",281,0.00076579277266038
"MSP",8545,0.0232871859159536
"MSY",2154,0.00587016951000164
"MTJ",290,0.000790319943314983
"MYR",536,0.0014607292745408
"OAJ",203,0.000553223960320488
"OAK",2215,0.00603640922221617
"OGD",7,1.90766882869134e-05
"OGG",1465,0.00399247833433259
"OGS",53,0.000144437782743773
"OKC",1221,0.00332751948547446
"OMA",1308,0.00356461546846896
"OME",28,7.63067531476536e-05
"ONT",1309,0.0035673407096528
"ORD",12464,0.0339674061154412
"ORF",1109,0.00302229247288385
"OTH",10,2.72524118384477e-05
"OTZ",29,7.90319943314983e-05
"OWB",9,2.45271706546029e-05
"PAE",23,6.26805472284297e-05
"PAH",61,0.000166239712214531
"PBG",66,0.000179865918133755
"PBI",1606,0.0043767373412547
"PDX",2878,0.00784324412710525
"PGD",507,0.0013816972802093
"PHF",72,0.000196217365236823
"PHL",5406,0.0147326538398648
"PHX",10255,0.0279473483403281
"PIA",210,0.000572300648607402
"PIB",53,0.000144437782743773
"PIE",581,0.00158336512781381
"PIH",100,0.000272524118384477
"PIR",53,0.000144437782743773
"PIT",1901,0.00518068349048891
"PLN",53,0.000144437782743773
"PNS",753,0.00205210661143511
"PRC",63,0.000171690194582221
"PSC",291,0.000793045184498828
"PSG",54,0.000147163023927618
"PSM",23,6.26805472284297e-05
"PSP",1128,0.0030740720553769
"PUB",52,0.000141712541559928
"PVD",523,0.00142530113915081
"PVU",48,0.000130811576824549
"PWM",484,0.00131901673298087
"RAP",328,0.000893879108301085
"RDD",29,7.90319943314983e-05
"RDM",375,0.00102196544394179
"RDU",2346,0.00639341581729983
"RFD",66,0.000179865918133755
"RHI",60,0.000163514471030686
"RIC",884,0.00240911320651878
"RIW",41,0.000111734888537636
"RKS",44,0.00011991061208917
"RNO",1030,0.00280699841936011
"ROA",123,0.000335204665612907
"ROC",420,0.0011446012972148
"ROW",57,0.000155338747479152
"RST",233,0.000634981195835831
"RSW",3204,0.00873167275303864
"SAF",96,0.000261623153649098
"SAN",3761,0.0102496320924402
"SAT",1625,0.00442851692374775
"SAV",862,0.00234915790047419
"SBA",249,0.000678585054777348
"SBN",446,0.00121545756799477
"SBP",307,0.000836649043440344
"SCC",41,0.000111734888537636
"SCE",45,0.000122635853273015
"SCK",30,8.17572355153431e-05
"SDF",1033,0.00281517414291165
"SEA",8532,0.0232517577805636
"SFB",690,0.00188041641685289
"SFO",6124,0.0166893770098654
"SGF",534,0.00145527879217311
"SGU",282,0.000768518013844225
"SHD",52,0.000141712541559928
"SHR",52,0.000141712541559928
"SHV",353,0.000962010137897204
"SIT",31,8.44824766991879e-05
"SJC",2094,0.00570665503897095
"SJT",121,0.000329754183245217
"SJU",2090,0.00569575407423557
"SLC",8709,0.0237341254701041
"SLN",53,0.000144437782743773
"SMF",2528,0.00688940971275958
"SMX",20,5.45048236768954e-05
"SNA",1783,0.00485910503079523
"SPI",11,2.99776530222925e-05
"SPN",13,3.5428135389982e-05
"SPS",83,0.000226195018259116
"SRQ",911,0.00248269471848259
"STC",13,3.5428135389982e-05
"STL",2902,0.00790864991551752
"STS",134,0.000365182318635199
"STT",449,0.0012236332915463
"STX",114,0.000310677494958304
"SUN",166,0.000452390036518232
"SUX",55,0.000149888265111462
"SWF",26,7.0856270779964e-05
"SWO",41,0.000111734888537636
"SYR",414,0.00112824985011173
"TLH",363,0.000989262549735652
"TOL",37,0.000100833923802256
"TPA",4732,0.0128958412819535
"TRI",161,0.000438763830599008
"TTN",83,0.000226195018259116
"TUL",842,0.0022946530767973
"TUS",1056,0.00287785469014008
"TVC",189,0.000515070583746662
"TWF",100,0.000272524118384477
"TXK",83,0.000226195018259116
"TYR",101,0.000275249359568322
"TYS",675,0.00183953779909522
"USA",81,0.000220744535891426
"VCT",51,0.000138987300376083
"VEL",46,0.000125361094456859
"VLD",91,0.000247996947729874
"VPS",565,0.0015397612688723
"WRG",54,0.000147163023927618
"XNA",509,0.00138714776257699
"XWA",57,0.000155338747479152
"YAK",49,0.000133536818008394
"YUM",154,0.000419687142312095
